address,instruction,opcode,x,y,n,kk,nnn,description
0x026E,0xF61E,0xF000,0x0006,0x0001,0x000E,0x001E,0x061E,SET_I_EQUALSTO_I_PLUS_V[0x0006]
0x0270,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x0272,0xD014,0xD000,0x0000,0x0001,0x0004,0x0014,0x0014,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0004
0x0274,0x70FF,0x7000,0x0000,0x000F,0x000F,0x00FF,0x00FF,SET_V[0x0000]_EQUALSTO_V[0x0000]+0x00FF
0x0276,0x2334,0x2000,0x0003,0x0003,0x0004,0x0034,0x0334,SUBROUTINE_CALL_0x0334
0x0278,0x3F01,0x3000,0x000F,0x0000,0x0001,0x0001,0x0F01,SKIP_NEXT_INSTRUCTION_IF_V[0x000F]_EQUALS_0x0001
0x027A,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x027C,0xD014,0xD000,0x0000,0x0001,0x0004,0x0014,0x0014,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0004
0x027E,0x7001,0x7000,0x0000,0x0000,0x0001,0x0001,0x0001,SET_V[0x0000]_EQUALSTO_V[0x0000]+0x0001
0x0280,0x2334,0x2000,0x0003,0x0003,0x0004,0x0034,0x0334,SUBROUTINE_CALL_0x0334
0x0282,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x0284,0xD014,0xD000,0x0000,0x0001,0x0004,0x0014,0x0014,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0004
0x0286,0x7001,0x7000,0x0000,0x0000,0x0001,0x0001,0x0001,SET_V[0x0000]_EQUALSTO_V[0x0000]+0x0001
0x0288,0x2334,0x2000,0x0003,0x0003,0x0004,0x0034,0x0334,SUBROUTINE_CALL_0x0334
0x028A,0x3F01,0x3000,0x000F,0x0000,0x0001,0x0001,0x0F01,SKIP_NEXT_INSTRUCTION_IF_V[0x000F]_EQUALS_0x0001
0x028C,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x028E,0xD014,0xD000,0x0000,0x0001,0x0004,0x0014,0x0014,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0004
0x0290,0x70FF,0x7000,0x0000,0x000F,0x000F,0x00FF,0x00FF,SET_V[0x0000]_EQUALSTO_V[0x0000]+0x00FF
0x0292,0x2334,0x2000,0x0003,0x0003,0x0004,0x0034,0x0334,SUBROUTINE_CALL_0x0334
0x0294,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x0296,0xD014,0xD000,0x0000,0x0001,0x0004,0x0014,0x0014,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0004
0x0298,0x7301,0x7000,0x0003,0x0000,0x0001,0x0001,0x0301,SET_V[0x0003]_EQUALSTO_V[0x0003]+0x0001
0x029A,0x4304,0x4000,0x0003,0x0000,0x0004,0x0004,0x0304,SKIP_NEXT_INSTRUCTION_IF_V[0x0003]_NOT_EQUALS_0x0004
0x029C,0x6300,0x6000,0x0003,0x0000,0x0000,0x0000,0x0300,SET_V[0x0003]_EQUALSTO_0x0000
0x029E,0x225C,0x2000,0x0002,0x0005,0x000C,0x005C,0x025C,SUBROUTINE_CALL_0x025C
0x02A0,0x2334,0x2000,0x0003,0x0003,0x0004,0x0034,0x0334,SUBROUTINE_CALL_0x0334
0x02A2,0x3F01,0x3000,0x000F,0x0000,0x0001,0x0001,0x0F01,SKIP_NEXT_INSTRUCTION_IF_V[0x000F]_EQUALS_0x0001
0x02A4,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x02A6,0xD014,0xD000,0x0000,0x0001,0x0004,0x0014,0x0014,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0004
0x02A8,0x73FF,0x7000,0x0003,0x000F,0x000F,0x00FF,0x03FF,SET_V[0x0003]_EQUALSTO_V[0x0003]+0x00FF
0x02AA,0x43FF,0x4000,0x0003,0x000F,0x000F,0x00FF,0x03FF,SKIP_NEXT_INSTRUCTION_IF_V[0x0003]_NOT_EQUALS_0x00FF
0x02AC,0x6303,0x6000,0x0003,0x0000,0x0003,0x0003,0x0303,SET_V[0x0003]_EQUALSTO_0x0003
0x02AE,0x225C,0x2000,0x0002,0x0005,0x000C,0x005C,0x025C,SUBROUTINE_CALL_0x025C
