address,instruction,opcode,x,y,n,kk,nnn,description
0x0392,0x7B01,0x7000,0x000B,0x0000,0x0001,0x0001,0x0B01,SET_V[0x000B]_EQUALSTO_V[0x000B]+0x0001
0x0394,0x7001,0x7000,0x0000,0x0000,0x0001,0x0001,0x0001,SET_V[0x0000]_EQUALSTO_V[0x0000]+0x0001
0x0396,0x3025,0x3000,0x0000,0x0002,0x0005,0x0025,0x0025,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_EQUALS_0x0025
0x0398,0x1386,0x1000,0x0003,0x0008,0x0006,0x0086,0x0386,JUMP_0x0386
0x039A,0x4B00,0x4000,0x000B,0x0000,0x0000,0x0000,0x0B00,SKIP_NEXT_INSTRUCTION_IF_V[0x000B]_NOT_EQUALS_0x0000
0x039C,0x13A6,0x1000,0x0003,0x000A,0x0006,0x00A6,0x03A6,JUMP_0x03A6
0x039E,0x7DFF,0x7000,0x000D,0x000F,0x000F,0x00FF,0x0DFF,SET_V[0x000D]_EQUALSTO_V[0x000D]+0x00FF
0x03A0,0x7EFF,0x7000,0x000E,0x000F,0x000F,0x00FF,0x0EFF,SET_V[0x000E]_EQUALSTO_V[0x000E]+0x00FF
0x03A2,0x3D01,0x3000,0x000D,0x0000,0x0001,0x0001,0x0D01,SKIP_NEXT_INSTRUCTION_IF_V[0x000D]_EQUALS_0x0001
0x03A4,0x1382,0x1000,0x0003,0x0008,0x0002,0x0082,0x0382,JUMP_0x0382
0x03A6,0x23C0,0x2000,0x0003,0x000C,0x0000,0x00C0,0x03C0,SUBROUTINE_CALL_0x03C0
0x03A8,0x3F01,0x3000,0x000F,0x0000,0x0001,0x0001,0x0F01,SKIP_NEXT_INSTRUCTION_IF_V[0x000F]_EQUALS_0x0001
0x03AA,0x23C0,0x2000,0x0003,0x000C,0x0000,0x00C0,0x03C0,SUBROUTINE_CALL_0x03C0
0x03AC,0x7A01,0x7000,0x000A,0x0000,0x0001,0x0001,0x0A01,SET_V[0x000A]_EQUALSTO_V[0x000A]+0x0001
0x03AE,0x23C0,0x2000,0x0003,0x000C,0x0000,0x00C0,0x03C0,SUBROUTINE_CALL_0x03C0
0x03B0,0x80A0,0x8000,0x0000,0x000A,0x0000,0x00A0,0x00A0,SET_V[0x0000]_EQUALSTO_V[0x000A]
0x03B2,0x6D07,0x6000,0x000D,0x0000,0x0007,0x0007,0x0D07,SET_V[0x000D]_EQUALSTO_0x0007
0x03B4,0x80D2,0x8000,0x0000,0x000D,0x0002,0x00D2,0x00D2,SET_V[0x0000]_EQUALSTO_V[0x0000]_AND_V[0x000D]
0x03B6,0x4004,0x4000,0x0000,0x0000,0x0004,0x0004,0x0004,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0004
0x03B8,0x75FE,0x7000,0x0005,0x000F,0x000E,0x00FE,0x05FE,SET_V[0x0005]_EQUALSTO_V[0x0005]+0x00FE
0x03BA,0x4502,0x4000,0x0005,0x0000,0x0002,0x0002,0x0502,SKIP_NEXT_INSTRUCTION_IF_V[0x0005]_NOT_EQUALS_0x0002
0x03BC,0x6504,0x6000,0x0005,0x0000,0x0004,0x0004,0x0504,SET_V[0x0005]_EQUALSTO_0x0004
0x03BE,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x03C0,0xA700,0xA000,0x0007,0x0000,0x0000,0x0000,0x0700,SET_I_EQUALSTO_0x0700
0x03C2,0xF255,0xF000,0x0002,0x0005,0x0005,0x0055,0x0255,STORE_V[0-0x0002]_STARTINGAT_MEM[I]
0x03C4,0xA804,0xA000,0x0008,0x0000,0x0004,0x0004,0x0804,SET_I_EQUALSTO_0x0804
0x03C6,0xFA33,0xF000,0x000A,0x0003,0x0003,0x0033,0x0A33,SET_BCD_V[0x000A]
0x03C8,0xF265,0xF000,0x0002,0x0006,0x0005,0x0065,0x0265,LOAD_MEM[I - I+0x0002]_IN_V[0-0x0002]
0x03CA,0xF029,0xF000,0x0000,0x0002,0x0009,0x0029,0x0029,SET_I_EQUALSTO_SPRITE_ADDRESS_OF_CHAR_IN_V[0x0000]
0x03CC,0x6D32,0x6000,0x000D,0x0003,0x0002,0x0032,0x0D32,SET_V[0x000D]_EQUALSTO_0x0032
0x03CE,0x6E00,0x6000,0x000E,0x0000,0x0000,0x0000,0x0E00,SET_V[0x000E]_EQUALSTO_0x0000
0x03D0,0xDDE5,0xD000,0x000D,0x000E,0x0005,0x00E5,0x0DE5,DRAW_SPRITE_AT_COORDINATES_V[0x000D]V[0x000E]_WIDTH_8_HEIGHT_0x0005
0x03D2,0x7D05,0x7000,0x000D,0x0000,0x0005,0x0005,0x0D05,SET_V[0x000D]_EQUALSTO_V[0x000D]+0x0005
0x03D4,0xF129,0xF000,0x0001,0x0002,0x0009,0x0029,0x0129,SET_I_EQUALSTO_SPRITE_ADDRESS_OF_CHAR_IN_V[0x0001]
0x03D6,0xDDE5,0xD000,0x000D,0x000E,0x0005,0x00E5,0x0DE5,DRAW_SPRITE_AT_COORDINATES_V[0x000D]V[0x000E]_WIDTH_8_HEIGHT_0x0005
0x03D8,0x7D05,0x7000,0x000D,0x0000,0x0005,0x0005,0x0D05,SET_V[0x000D]_EQUALSTO_V[0x000D]+0x0005
0x03DA,0xF229,0xF000,0x0002,0x0002,0x0009,0x0029,0x0229,SET_I_EQUALSTO_SPRITE_ADDRESS_OF_CHAR_IN_V[0x0002]
0x03DC,0xDDE5,0xD000,0x000D,0x000E,0x0005,0x00E5,0x0DE5,DRAW_SPRITE_AT_COORDINATES_V[0x000D]V[0x000E]_WIDTH_8_HEIGHT_0x0005
0x03DE,0xA700,0xA000,0x0007,0x0000,0x0000,0x0000,0x0700,SET_I_EQUALSTO_0x0700
0x03E0,0xF265,0xF000,0x0002,0x0006,0x0005,0x0065,0x0265,LOAD_MEM[I - I+0x0002]_IN_V[0-0x0002]
0x03E2,0xA2B4,0xA000,0x0002,0x000B,0x0004,0x00B4,0x02B4,SET_I_EQUALSTO_0x02B4
0x03E4,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x03E6,0x6A00,0x6000,0x000A,0x0000,0x0000,0x0000,0x0A00,SET_V[0x000A]_EQUALSTO_0x0000
0x03E8,0x6019,0x6000,0x0000,0x0001,0x0009,0x0019,0x0019,SET_V[0x0000]_EQUALSTO_0x0019
0x03EA,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x03EC,0x3723,0x3000,0x0007,0x0002,0x0003,0x0023,0x0723,SKIP_NEXT_INSTRUCTION_IF_V[0x0007]_EQUALS_0x0023
